@relation 'North Shore Oahu'

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
1.68,13.33,307,3.55,13.65,304.329987,15
1.62,14.29,304,3.55,13.65,304.329987,15
1.45,14.29,301,3.55,13.65,304.329987,15
1.55,12.5,305,3.55,13.65,304.329987,15
1.45,12.5,305,3.55,13.65,304.329987,15
2.48,18.18,319,3.55,13.65,304.329987,15
2.45,18.18,322,3.55,13.65,304.329987,15
2.85,18.18,326,3.55,13.65,304.329987,15
2.38,18.18,329,3.55,13.65,304.329987,15
2.74,18.18,324,3.55,13.65,304.329987,15
2.33,18.18,319,3.55,13.65,304.329987,15
2.96,18.18,317,3.55,13.65,304.329987,15
2.58,16.67,318,3.55,13.65,304.329987,15
2.77,18.18,317,3.55,13.65,304.329987,15
2.62,18.18,322,3.55,13.65,304.329987,15
2.87,18.18,315,3.55,13.65,304.329987,15
2.87,18.18,317,3.55,13.65,304.329987,15
2.74,16.67,308,3.55,13.65,304.329987,15
3.08,18.18,314,3.55,13.65,304.329987,15
3.12,16.67,311,5.13,16.139999,313.029968,15
2.67,16.67,317,5.13,16.139999,313.029968,15
2.88,16.67,318,5.13,16.139999,313.029968,15
3.2,18.18,319,5.13,16.139999,313.029968,15
2.88,16.67,325,5.13,16.139999,313.029968,15
2.86,15.38,318,5.13,16.139999,313.029968,15
2.77,15.38,319,5.13,16.139999,313.029968,15
3.35,16.67,322,5.13,16.139999,313.029968,15
3.32,16.67,326,5.13,16.139999,313.029968,15
3.31,14.29,328,5.13,16.139999,313.029968,15
3.08,16.67,312,5.13,16.139999,313.029968,15
3.17,15.38,319,5.13,16.139999,313.029968,15
3.3,15.38,324,5.13,16.139999,313.029968,15
3.3,15.38,321,5.13,16.139999,313.029968,15
3.16,14.29,308,5.13,16.139999,313.029968,15
3.11,16.67,312,5.13,16.139999,313.029968,15
3.26,15.38,304,5.13,16.139999,313.029968,15
3.06,13.33,312,5.13,16.139999,313.029968,15
3.02,15.38,308,5.13,16.139999,313.029968,15
2.95,12.5,315,5.13,16.139999,313.029968,15
2.99,15.38,312,5.13,16.139999,313.029968,15
