@relation NoDirectionStrategy

@attribute buoyHeight numeric
@attribute buoyPeriod numeric
@attribute buoyDirection numeric
@attribute ww3Height numeric
@attribute ww3Period numeric
@attribute ww3Direction numeric
@attribute visualObservation numeric

@data
1.52,7.14,45,1.98,6.18,77.709999,1.2192
1.92,8.33,31,2.26,7.03,72.25,0.6096
1.9,9.09,28,2.21,7.33,65.079994,0.6096
1.5,8.33,37,2.07,7.83,66.790001,1.2192
1.34,8.33,45,1.82,7.65,73.970001,1.8288
1.22,9.09,37,1.93,8.639999,70.809998,1.8288
0.98,8.33,38,1.6,8.28,80.979996,1.2192
0.98,10.53,25,1.46,10.37,91.859993,1.2192
1.08,9.88,42,1.43,9.32,85.789993,0.6096
1.16,5.88,37,1.47,8.59,84,0.6096
1.29,6.67,41,1.7,6.39,76.739998,0.6096
1.43,6.67,45,1.7,6.74,82.019997,0.6096
1.75,8.33,42,2.02,7.2,77.149994,0.6096
1.77,8.33,45,2.49,7.63,77.480003,0.6096
1.58,7.69,42,2.3,7.67,78.019997,0.6096
1.47,7.69,51,2.01,7.48,80.730003,0.6096
1.45,7.14,44,2.01,7.48,80.879997,0.6096
1.45,7.69,42,2.1,7.47,82.099998,0.6096
1.66,7.69,47,1.98,7.67,82.400002,0.6096
1.14,6.25,47,1.98,7.77,87.870003,0.6096
1.11,9.09,44,1.47,8.139999,97.110001,0.6096
1.04,9.09,42,1.55,8.18,88.970001,0.6096
0.88,9.88,44,1.52,8.01,91.469994,0.6096
0.96,5.26,49,1.59,7.87,100.259995,0.6096
1.2,5.88,49,1.71,7.48,91.559998,0.6096
1.32,6.25,45,1.82,5.79,75.230003,0.6096
1.32,5.88,38,1.84,6.46,83.830002,0.6096
1.24,8.33,34,1.79,6.61,88.760002,0.6096
0.99,7.69,30,1.57,7.47,88.279999,0.6096
0.89,5.26,49,1.41,13.429999,190.359985,1.2192
1.04,16.67,304,1.49,5.61,83.82,2.4384
1.15,16.67,300,1.42,5.65,83.519997,2.4384
1.14,13.33,305,1.78,13.009999,219.559998,3.048
1.28,13.33,317,1.92,11.87,234.499985,2.4384
1.38,12.5,308,1.94,11.679999,250.039993,3.048
1.47,11.76,322,2.01,6.71,97.879997,2.4384
1.27,9.88,346,2.01,9.389999,73.540001,1.8288
1.15,9.88,6,1.94,9.19,77.019997,0.6096
1.51,6.67,41,1.9,7.28,82.720001,1.8288
1.42,11.11,321,1.87,7.17,81.589996,1.8288
1.38,8.33,48,1.6,7.7,75.160004,1.2192
1.31,8.33,35,1.69,7.5,62.279999,0.6096
1.47,8.33,34,1.84,6.43,74.900002,0.6096
1.63,6.67,37,2.03,6.56,74.699997,0.6096
2.09,8.33,30,2.56,7.23,70.449997,1.2192
2.1,8.33,37,2.57,16.449999,182.400009,1.8288
1.63,8.33,37,2.76,7.9,72.409996,1.2192
1.6,7.69,45,2.26,8.08,78.389992,0.6096
1.17,8.33,44,1.95,7.88,81.540001,0.6096
0.9,10.53,333,1.61,8.08,93.830002,0.6096
0.92,4,47,1.48,5.42,82.230003,0.6096
1.4,6.67,24,1.72,5.96,72.32,1.2192
1.69,10.53,14,2.01,6.48,78.369995,1.8288
1.53,10.53,16,1.99,6.39,80.849998,1.2192
1.45,6.67,47,2.15,6.53,82.989998,1.2192
1.24,10.53,343,1.77,6.92,91.57,0.6096
1.02,7.69,45,1.7,7.51,98.209999,0.6096
0.72,7.14,44,1.47,7.54,97.779999,2.4384
1.88,11.76,346,2.13,11.01,330.799988,3.048
1.91,11.11,333,2.13,10.57,333.759979,3.048
1.94,12.5,325,2.11,10.45,333.75,3.6576
1.86,13.33,349,1.97,13.219999,189.169998,1.8288
1.13,10.53,348,1.62,10.16,347.959991,1.8288
1.54,7.69,44,1.93,6.97,80.159996,1.2192
1.5,8.33,42,1.85,6.96,80.479996,1.2192
1.72,9.09,41,1.85,7.38,76.889999,0.6096
1.76,9.09,44,2.06,8.79,74.040001,1.2192
1.69,9.09,38,2.14,8.96,75.379997,1.2192
2.05,13.33,317,2.36,8.4,84.419998,3.048
2.26,12.5,321,2.37,8.429999,84.049995,2.4384
1.7,11.11,314,2.3,8.26,77.259995,1.2192
1.28,9.09,18,1.83,7.95,69.949997,0.6096
1.23,8.33,37,1.66,7.77,62.379997,1.2192
1.3,15.38,249,1.73,14.47,193.259995,1.2192
1.37,9.88,33,1.8,13.03,193.110001,1.8288
1.99,15.38,325,2.03,14.559999,313.48999,3.6576
2.05,15.38,322,2.05,14.43,313.649994,3.6576
1.94,13.33,322,2.49,12.299999,319.619995,5.4864
2.96,12.5,329,3.56,12.14,329.889984,6.096
2.8,12.5,328,3.49,12.07,330.380005,4.8768
3.23,18.18,312,2.25,9.77,332.889984,10.9728
3.48,16.67,321,2.74,15.719999,320.48999,9.144
2.91,15.38,317,3.06,13.56,319.859985,4.2672
1.94,11.76,321,2.35,11.57,320.199982,2.4384
1.52,11.76,333,2.11,9.879999,320.98999,2.4384
1.85,14.29,346,2.11,12.32,333.369995,1.8288
1.89,13.33,336,2.54,13.219999,323.910004,3.048
1.9,11.76,331,2.58,12.61,327.25,3.048
1.79,16.67,314,2.06,7.73,96.509995,4.8768
1.72,15.38,308,2.08,7.75,96.889999,3.6576
3.17,18.18,329,2.43,10.98,319.959991,12.192
4.46,15.38,343,4.14,14.279999,338.98999,12.192
4.17,16.67,342,3.97,13.75,336.080017,6.7056
3.26,14.29,343,2.97,12.18,342.649994,4.2672
2.65,12.5,345,2.36,11.54,343.579987,3.048
1.73,12.5,348,1.94,10.4,336.850006,1.8288
1.1,11.11,335,1.45,9.65,327.439972,2.4384
2.11,12.5,310,2.32,12.54,306.700012,4.8768
2.2,13.33,310,2.33,12.5,306.789978,3.6576
1.78,11.76,314,2.02,11.51,309.099976,3.048
1.64,11.11,340,2.14,12.35,315.809998,3.6576
1.89,14.29,332,2.19,12.13,313.509979,3.6576
1.81,12.5,326,2.13,12.35,316.559998,3.048
1.59,11.76,333,2.05,11.860001,316.659973,2.4384
2.84,10.53,340,2.57,10.93,314.799988,3.6576
2.59,9.88,356,2.55,10.809999,314.600006,3.6576
2.19,11.76,333,2.42,10.219999,320.779999,3.048
1.74,9.88,350,2.16,9.809999,321.640015,3.048
3.96,13.33,317,3.6,6.86,28.889999,4.8768
3.79,9.09,3,3.71,7.05,34.839996,3.6576
2.86,9.88,346,3.5,7.76,57.849998,3.048
2.44,10.53,357,2.81,8.360001,65.290001,1.8288
1.59,10.53,4,2.31,8.219999,68.639992,3.6576
2.97,16.67,321,3.21,15.259999,327.889984,8.5344
3.28,14.29,326,3.46,13.51,324.330017,7.3152
2.77,14.29,326,3.25,13.299999,323.390015,4.8768
3.56,16.67,319,3.93,13.75,326.199982,9.144
3.64,15.38,314,3.79,13.84,321.25,5.4864
4.34,20,319,3.76,17.959999,320.72998,12.192
4.79,16.67,324,5.46,16.16,319.369995,16.4592
4.63,16.67,324,5.16,15.77,320.130005,9.7536
3.1,14.29,322,3.67,13.289999,317.209991,4.8768
4.89,15.38,345,3.65,11.679999,330.799988,9.144
5.27,16.67,343,3.74,12.1,336.269989,10.9728
4.76,16.67,352,3.51,13.27,342.059967,5.4864
3.07,16.67,308,3.1,14.629999,310.130005,8.5344
3.08,15.38,304,3.2,14.469999,309.649994,6.096
4.11,15.38,331,3.5,13.17,312.040009,7.3152
3.54,13.33,324,3.21,12.08,318.920013,6.096
3.85,15.38,321,3.19,14.690001,312.690002,10.3632
3.93,14.29,307,3.57,14.389999,312.22998,8.5344
3.57,13.33,322,4,13.440001,317.690002,4.8768
2.65,13.33,322,3.23,12.2,318.499969,3.048
2.04,18.18,319,2.71,7.75,85.32,4.2672
2.68,15.38,318,3.27,14.33,319.190002,4.8768
2.52,15.38,321,3.24,14.08,318.079987,4.2672
1.93,13.33,317,2.81,13.099999,319.970001,3.048
2.46,20,310,2.43,11.869999,327.529968,12.192
4.72,18.18,319,4.42,15.839999,322.160004,13.4112
3.9,15.38,315,3.99,14.96,319.549988,7.3152
2.8,11.76,333,2.91,12.15,316.660004,6.096
2.73,13.33,331,2.88,12.11,317.059967,3.048
2.11,11.76,332,2.57,11.209999,316.700012,2.4384
1.95,11.11,356,2.39,8.28,90.129997,2.4384
2.79,16.67,319,3.42,15.339999,316.009979,8.5344
3.3,16.67,324,3.66,14.809999,316,6.096
2.83,14.29,324,3.21,13.389999,314.769989,3.6576
1.95,13.33,329,3,12.15,320.75,3.048
1.86,13.33,326,2.91,11.78,318.449982,3.048
1.64,13.33,322,2.59,12.049999,316.089996,2.4384
1.62,6.67,44,2.33,5.88,74.839996,1.8288
2.94,9.09,35,3.08,7.809999,76.870003,1.8288
2.71,9.09,37,3.23,8.33,78.149994,1.8288
1.46,15.38,317,2.55,9.27,101.389999,4.2672
2.53,14.29,317,3.44,14.44,312.519989,6.096
